Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,43.299999,43.299999,40.049999,40.049999,39.287144,45
2017-02-14,39.650002,39.650002,39.599998,39.599998,38.845715,400
2017-02-15,37.900002,39.049999,37.000000,37.250000,36.540478,6695
2017-02-16,38.000000,38.000000,37.049999,37.299999,36.589523,2200
2017-02-17,37.299999,37.349998,37.299999,37.349998,36.638569,594
2017-02-20,37.049999,38.000000,36.500000,36.700001,36.000954,1076
2017-02-21,37.049999,38.799999,37.000000,38.799999,38.060951,747
2017-02-22,37.000000,37.549999,36.000000,36.299999,35.608570,3302
2017-02-23,38.000000,39.450001,38.000000,38.700001,37.962856,3654
2017-02-27,38.700001,38.700001,38.000000,38.700001,37.962856,951
2017-02-28,38.000000,40.000000,38.000000,38.349998,37.619522,2162
2017-03-01,38.349998,39.549999,38.000000,38.349998,37.619522,4022
2017-03-02,38.500000,39.700001,38.500000,39.500000,38.747620,1830
2017-03-03,38.000000,38.000000,37.799999,37.799999,37.079998,300
2017-03-06,39.450001,39.500000,38.000000,38.000000,37.276192,330
2017-03-07,38.000000,38.000000,38.000000,38.000000,37.276192,299
2017-03-08,38.700001,38.799999,36.000000,38.150002,37.423336,2010
2017-03-09,37.000000,37.700001,36.150002,37.700001,36.981907,240
2017-03-10,37.000000,37.000000,37.000000,37.000000,36.295238,680
2017-03-14,37.000000,38.599998,36.299999,36.299999,35.608570,1175
2017-03-15,38.000000,38.599998,37.000000,38.200001,37.472382,8054
2017-03-16,39.000000,41.900002,38.049999,39.250000,38.502380,7291
2017-03-17,38.200001,40.400002,37.849998,40.000000,39.238094,286
2017-03-20,39.299999,41.450001,39.299999,41.450001,40.660477,552
2017-03-21,39.000000,40.799999,37.500000,38.599998,37.864761,1104
2017-03-22,37.500000,41.500000,37.500000,41.000000,40.219048,101
2017-03-23,41.849998,41.849998,38.000000,40.349998,39.581429,1310
2017-03-24,40.349998,40.349998,40.349998,40.349998,39.581429,25
2017-03-27,40.349998,40.349998,40.349998,40.349998,39.581429,0
2017-03-28,37.599998,39.400002,37.599998,39.400002,38.649525,65
2017-03-29,37.500000,41.000000,33.599998,39.750000,38.992859,3091
2017-03-30,39.750000,39.750000,39.750000,39.750000,38.992859,0
2017-03-31,37.349998,41.000000,37.299999,41.000000,40.219048,350
2017-04-03,39.000000,42.500000,39.000000,40.750000,39.973808,435
2017-04-05,40.000000,42.000000,39.000000,41.150002,40.366192,4113
2017-04-06,42.000000,42.400002,38.200001,39.000000,38.257141,2560
2017-04-07,41.500000,41.500000,39.000000,41.250000,40.464287,2373
2017-04-10,38.650002,40.000000,38.650002,40.000000,39.238094,249
2017-04-11,37.299999,39.000000,37.299999,38.349998,37.619522,700
2017-04-12,38.349998,38.349998,38.349998,38.349998,37.619522,0
2017-04-13,37.099998,38.400002,37.099998,37.700001,36.981907,1508
2017-04-17,37.700001,37.700001,37.700001,37.700001,36.981907,0
2017-04-18,42.700001,42.700001,39.099998,39.099998,38.355236,301
2017-04-19,38.000000,38.000000,37.700001,37.849998,37.129047,200
2017-04-20,41.299999,41.299999,37.700001,38.000000,37.276192,1035
2017-04-21,41.500000,41.500000,37.150002,38.200001,37.472382,1358
2017-04-24,39.500000,39.500000,37.450001,38.000000,37.276192,434
2017-04-25,38.049999,40.500000,36.750000,38.250000,37.521427,3670
2017-04-26,38.000000,38.000000,37.549999,37.549999,36.834763,530
2017-04-27,37.549999,37.549999,37.200001,37.200001,36.491428,220
2017-04-28,37.200001,40.000000,37.000000,40.000000,39.238094,1001
2017-05-02,37.500000,37.500000,35.599998,37.250000,36.540478,202
2017-05-03,35.700001,35.700001,35.700001,35.700001,35.020000,100
2017-05-04,35.849998,39.299999,35.849998,39.299999,38.551430,241
2017-05-05,38.349998,39.799999,38.299999,38.500000,37.766666,246
2017-05-08,38.500000,38.500000,38.500000,38.500000,37.766666,0
2017-05-09,37.000000,38.500000,36.549999,38.500000,37.766666,235
2017-05-10,38.500000,38.500000,38.500000,38.500000,37.766666,500
2017-05-11,40.000000,40.000000,37.549999,39.549999,38.796665,485
2017-05-12,39.549999,39.650002,37.849998,38.099998,37.374283,831
2017-05-15,38.099998,38.099998,38.099998,38.099998,37.374283,0
2017-05-16,39.950001,40.000000,39.950001,39.950001,39.189049,30
2017-05-17,39.900002,40.000000,39.900002,40.000000,39.238094,20
2017-05-18,37.549999,39.500000,37.549999,37.750000,37.030952,200
2017-05-19,39.900002,39.900002,39.900002,39.900002,39.140003,250
2017-05-22,39.900002,39.900002,39.900002,39.900002,39.140003,1
2017-05-23,36.000000,39.500000,36.000000,39.500000,38.747620,1800
2017-05-24,37.250000,39.500000,36.549999,37.000000,36.295238,3363
2017-05-25,36.500000,36.500000,36.099998,36.099998,35.412380,163
2017-05-26,37.000000,38.900002,37.000000,38.849998,38.109997,402
2017-05-29,35.700001,38.900002,35.500000,37.000000,36.295238,460
2017-05-30,34.250000,39.799999,34.250000,36.150002,35.461430,554
2017-05-31,34.849998,36.000000,34.000000,34.049999,33.401428,1167
2017-06-01,32.549999,36.950001,32.549999,33.700001,33.058098,1232
2017-06-02,33.700001,33.700001,33.700001,33.700001,33.058098,0
2017-06-05,32.099998,33.250000,32.099998,33.250000,32.616665,179
2017-06-06,34.299999,37.000000,34.299999,37.000000,36.295238,248
2017-06-07,36.700001,38.000000,36.700001,37.750000,37.030952,610
2017-06-08,37.750000,37.750000,37.750000,37.750000,37.030952,0
2017-06-09,35.000000,39.400002,35.000000,38.000000,37.276192,571
